"ENDSTRING","ID","LASTTURN","PLAYERONENAME","PLAYERONETIME","PLAYERTWONAME","PLAYERTWOTIME","STARTSTRING"
"","1","2","","0","","0","Mon Sep 21 21:10:10 CDT 2020"
"","2","a1234","a1234","120","b1234","120","2020-11-10 14:02:36"
"","3","a1234","a1234","120","b1234","120","2020-11-10 14:04:05"
"","4","a1234","a1234","120","b1234","120","2020-11-10 14:04:54"
"","5","a1234","a1234","120","b1234","120","2020-11-10 14:07:30"
"","6","a1234","a1234","120","b1234","120","2020-11-10 14:10:44"
"","7","a1234","a1234","120","b1234","120","2020-11-10 14:42:33"
"","8","a1234","a1234","120","b1234","120","2020-11-10 14:52:50"
"","9","a1234","a1234","120","b1234","120","2020-11-10 14:53:52"
"","10","a1234","a1234","120","b1234","120","2020-11-10 14:54:46"
"","11","a1234","a1234","120","b1234","120","2020-11-10 15:09:07"
"","12","a1234","a1234","120","b1234","120","2020-11-10 15:09:43"
"","13","a1234","a1234","120","b1234","120","2020-11-10 15:11:21"
"2020-11-10 15:14:26","14","b1234","a1234","102","b1234","107","2020-11-10 15:13:21"
"","15","a1234","a1234","120","b1234","120","2020-11-10 15:35:59"
"2020-11-10 15:39:39","16","a1234","a1234","113","b1234","115","2020-11-10 15:38:48"
"2020-11-10 15:41:01","17","a1234","a1234","115","b1234","107","2020-11-10 15:40:08"
"2020-11-10 15:43:33","18","b1234","a1234","105","b1234","117","2020-11-10 15:42:41"
"","19","a1234","a1234","120","b1234","120","2020-11-10 15:46:14"
"","20","a1234","a1234","120","b1234","120","2020-11-10 15:47:32"
